   0.0000000e+00   7.4000000e+02   9.8009133e+02
   2.0000000e+02   7.7000000e+02   9.8008686e+02
   4.0000000e+02   8.0000000e+02   9.8008230e+02
   6.0000000e+02   8.2000000e+02   9.8007903e+02
   8.0000000e+02   8.7000000e+02   9.8007017e+02
   1.0000000e+03   9.2000000e+02   9.8005931e+02
   1.2000000e+03   9.3000000e+02   9.8005748e+02
   1.4000000e+03   9.8000000e+02   9.8005020e+02
   1.6000000e+03   9.9000000e+02   9.8004585e+02
   1.8000000e+03   1.0000000e+03   9.8004490e+02
   2.0000000e+03   9.9000000e+02   9.8004671e+02
   2.2000000e+03   9.5000000e+02   9.8005569e+02
   2.4000000e+03   9.0000000e+02   9.8006512e+02
   2.6000000e+03   8.5000000e+02   9.8007474e+02
   2.8000000e+03   8.5000000e+02   9.8007543e+02
   3.0000000e+03   8.1000000e+02   9.8008073e+02
   3.2000000e+03   6.8000000e+02   9.8010746e+02
   3.4000000e+03   6.2000000e+02   9.8011724e+02
   3.6000000e+03   5.6000000e+02   9.8012952e+02
   3.8000000e+03   5.4000000e+02   9.8013128e+02
   4.0000000e+03   5.5000000e+02   9.8013129e+02
